REGION: Northern California and Sierra Counties,,,,,,,,,
Legal Permanent Resident <5 yrs,"24,000",7%,"18,000",7%,,"15,000",5%,"8,000",4%
Undocumented Immigrant,"66,000",20%,"65,000",24%,,"71,000",25%,"68,000",30%
,,,,,,,,,
COUNTY: San Bernardino,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"325,000",100%,"257,000",100%,,"275,000",100%,"210,000",100%
Gender,,,,,,,,,
Male,"174,000",54%,"140,000",55%,,"145,000",53%,"111,000",53%
Female,"151,000",46%,"116,000",45%,,"130,000",47%,"99,000",47%
Race and Ethnicity,,,,,,,,,
Latino,"238,000",73%,"186,000",73%,,"204,000",74%,"154,000",73%
Asian,"16,000",5%,"13,000",5%,,"14,000",5%,"11,000",5%
African American,"12,000",4%,"9,000",4%,,"10,000",3%,"7,000",3%
White,"53,000",16%,"43,000",17%,,"43,000",16%,"34,000",16%
Other,"6,000",2%,"5,000",2%,,"5,000",2%,"4,000",2%
Age,,,,,,,,,
0-18 years,"44,000",13%,"36,000",14%,,"43,000",16%,"34,000",16%
19-29 years,"104,000",32%,"85,000",33%,,"84,000",31%,"64,000",30%
30-44 years,"88,000",27%,"71,000",28%,,"80,000",29%,"64,000",30%
45-64 years,"90,000",28%,"66,000",26%,,"68,000",25%,"48,000",23%
Income,,,,,,,,,
100% FPL or less,"99,000",31%,"72,000",28%,,"96,000",35%,"73,000",35%
101-138% FPL,"34,000",10%,"22,000",9%,,"26,000",9%,"19,000",9%
139-200% FPL,"59,000",18%,"45,000",18%,,"43,000",16%,"28,000",13%
201-250% FPL,"36,000",11%,"29,000",11%,,"28,000",10%,"19,000",9%
251-400% FPL,"57,000",18%,"49,000",19%,,"46,000",17%,"36,000",17%
401 % FPL or more,"39,000",12%,"38,000",15%,,"36,000",13%,"34,000",16%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"129,000",40%,"107,000",41%,,"101,000",37%,"81,000",39%
18+ Limited English Proficiency,"156,000",48%,"118,000",46%,,"134,000",49%,"97,000",46%
Self Reported Health Status,,,,,,,,,
Excellent,"60,000",19%,"51,000",20%,,"53,000",19%,"42,000",20%
Very Good,"105,000",32%,"86,000",34%,,"90,000",33%,"70,000",34%
Good,"98,000",30%,"76,000",30%,,"82,000",30%,"61,000",29%
Fair,"55,000",17%,"39,000",15%,,"45,000",16%,"33,000",16%
Poor,"6,000",2%,"4,000",2%,,"4,000",2%,"4,000",2%
Employment Status,,,,,,,,,
Not Employed,"143,000",44%,"111,000",43%,,"123,000",45%,"93,000",44%
Employed,"182,000",56%,"146,000",57%,,"152,000",55%,"117,000",56%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"250,000",77%,"184,000",72%,,"197,000",72%,"136,000",65%
Legal Permanent Resident <5 yrs,"4,000",1%,"3,000",1%,,"2,000",1%,"1,000",1%
Undocumented Immigrant,"71,000",22%,"70,000",27%,,"75,000",27%,"72,000",34%
,,,,,,,,,
COUNTY: Riverside,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"324,000",100%,"255,000",100%,,"267,000",100%,"202,000",100%
Gender,,,,,,,,,
Male,"178,000",55%,"142,000",56%,,"145,000",55%,"111,000",55%
Female,"146,000",45%,"113,000",44%,,"121,000",45%,"92,000",45%
Race and Ethnicity,,,,,,,,,
Latino,"226,000",70%,"176,000",69%,,"188,000",71%,"141,000",70%
Asian,"17,000",5%,"14,000",6%,,"15,000",6%,"12,000",6%
African American,"9,000",3%,"7,000",3%,,"7,000",3%,"5,000",3%
White,"67,000",21%,"54,000",21%,,"53,000",20%,"42,000",21%
Other,"4,000",1%,"3,000",1%,,"3,000",1%,"2,000",1%
Age,,,,,,,,,
0-18 years,"30,000",9%,"25,000",10%,,"32,000",12%,"26,000",13%
19-29 years,"83,000",26%,"67,000",26%,,"64,000",24%,"47,000",23%
30-44 years,"110,000",34%,"88,000",35%,,"96,000",36%,"76,000",37%
45-64 years,"101,000",31%,"75,000",29%,,"75,000",28%,"53,000",26%
Income,,,,,,,,,
100% FPL or less,"92,000",29%,"67,000",26%,,"86,000",32%,"65,000",32%
101-138% FPL,"39,000",12%,"25,000",10%,,"29,000",11%,"22,000",11%
139-200% FPL,"60,000",19%,"47,000",18%,,"43,000",16%,"28,000",14%
201-250% FPL,"36,000",11%,"29,000",11%,,"28,000",11%,"20,000",10%
251-400% FPL,"54,000",17%,"46,000",18%,,"42,000",16%,"32,000",16%
401 % FPL or more,"42,000",13%,"41,000",16%,,"38,000",14%,"36,000",18%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"132,000",41%,"107,000",42%,,"100,000",37%,"78,000",39%
18+ Limited English Proficiency,"164,000",51%,"126,000",49%,,"136,000",51%,"99,000",49%
Self Reported Health Status,,,,,,,,,
Excellent,"71,000",22%,"60,000",23%,,"62,000",23%,"49,000",24%
Very Good,"91,000",28%,"74,000",29%,,"77,000",29%,"59,000",29%
Good,"105,000",33%,"81,000",32%,,"85,000",32%,"63,000",31%
Fair,"50,000",15%,"36,000",14%,,"39,000",15%,"28,000",14%
Poor,"6,000",2%,"4,000",2%,,"4,000",1%,"3,000",1%
Employment Status,,,,,,,,,
Not Employed,"126,000",39%,"97,000",38%,,"108,000",40%,"82,000",40%
Employed,"198,000",61%,"158,000",62%,,"159,000",60%,"121,000",60%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"232,000",72%,"171,000",67%,,"180,000",67%,"125,000",62%
Legal Permanent Resident <5 yrs,"20,000",6%,"14,000",6%,,"12,000",5%,"6,000",3%
Undocumented Immigrant,"72,000",22%,"70,000",27%,,"75,000",28%,"71,000",35%
